url	method	startedDateTime	time	Response status	Response content mimeType	Response content size	Response headersSize	Response bodySize	Referer	Timing blocked	Timing dns	Timing connect	Timing send	Timing wait	Timing receive	Timing ssl
https://cdn.jetair.be/sites/jetair/files/advagg_js/js__8IHNqiLENP6Se3zd6_CsG1myT_Ap1sAaDflI1dViR2k__JhLVeZ0XGXtRxF8KB1CUrlUOATyObLfv-iPHFegA2ls__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.js	GET	2015-11-23T10:28:02.241+01:00	62	304	application/javascript	431067	384	431071	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	52	0	10	0	
https://cdn.jetair.be/sites/jetair/files/advagg_js/js__x0raA_T4LdJwNr7AMj9pmvoLTejoNzcQO74mGwDmdro__j3uuWyqMndVB7_U9UMOg3MM0IicAZqg8YKJFm8ytSYI__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.js	GET	2015-11-23T10:28:02.242+01:00	65	304	application/javascript	178114	384	178114	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	53	0	12	0	
https://cdn.jetair.be/sites/jetair/files/advagg_js/js__4cG37KZDZ297Tdsi1Q8XhC0a_6hM_A_ZVXJEzkdvqMM__4j5edJevol5Hui0dpFZOoK218m1iW9-CTez4O7nG7k4__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.js	GET	2015-11-23T10:28:02.244+01:00	64	304	application/javascript	37721	384	37721	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	52	0	12	0	
https://cdn.jetair.be/sites/jetair/files/advagg_js/js__7rtrNMKWFqxezgW6wydu0n-0bd_Sm0Kv5icf__RViyA__hsCHJbIk4kEG8MT9a-HGh1wFDEBdCMN9SdE2K77cgpo__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.js	GET	2015-11-23T10:28:02.246+01:00	62	304	application/javascript	37490	384	37492	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	50	0	12	0	
https://static.hotjar.com/c/hotjar-66.js?sv=3	GET	2015-11-23T10:28:02.250+01:00	90	200	application/javascript	185663	403	43793	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	52	0	15	23	
https://2103730419.log.optimizely.com/event?a=2103730419&d=4482040&y=false&src=js&s2119900104=ff&s2113450156=false&s2123350766=campaign&s3091181588=true&s2112210745=none&s3062370043=true&tsent=1448270882.368&n=https%3A%2F%2Fwww.jetair.be%2Ffr%3Fabta%3D118501%26resetRa%3Dy%26gclid%3DCOejqdaLpskCFYOfGwodbbQKkA&u=oeu1448265526508r0.5993427928455712&wxhr=true&time=1448270882.366&f=3170130464,3555463089&g=&cx1=69c8c54c	GET	2015-11-23T10:28:02.373+01:00	183	200	application/json	2	392	2	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	3	92		88	0	
https://www.jetair.be/sites/all/themes/tui/css/fonts.css	GET	2015-11-23T10:28:02.447+01:00	13	200	text/css	4059	579	504	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	13	0	
https://chart.googleapis.com/chart?cht=qr&chs=150x150&chl=http://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA&choe=UTF-8	GET	2015-11-23T10:28:02.873+01:00	77	304	image/png	0	281		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	43	0	34	0	
https://cdn.jetair.be/img/flags/ch.jpg	GET	2015-11-23T10:28:02.876+01:00	17	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	17	0	
https://cdn.jetair.be/img/flags/at.jpg	GET	2015-11-23T10:28:02.878+01:00	15	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	15	0	
https://cdn.jetair.be/img/flags/nl.jpg	GET	2015-11-23T10:28:02.880+01:00	13	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	13	0	
https://cdn.jetair.be/img/flags/fr.jpg	GET	2015-11-23T10:28:02.882+01:00	11	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	11	0	
https://cdn.jetair.be/img/flags/pl.jpg	GET	2015-11-23T10:28:02.884+01:00	11	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	11	0	
https://cdn.jetair.be/img/flags/es.jpg	GET	2015-11-23T10:28:02.886+01:00	12	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	12	0	
https://cdn.jetair.be/img/flags/uk.jpg	GET	2015-11-23T10:28:02.888+01:00	18	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	5	0	13	0	
https://cdn.jetair.be/img/flags/dk.jpg	GET	2015-11-23T10:28:02.890+01:00	16	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	3	0	13	0	
https://cdn.jetair.be/img/flags/de.jpg	GET	2015-11-23T10:28:02.892+01:00	15	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	1	0	14	0	
https://cdn.jetair.be/img/flags/no.jpg	GET	2015-11-23T10:28:02.894+01:00	12	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	12	0	
https://cdn.jetair.be/img/flags/sv.jpg	GET	2015-11-23T10:28:02.896+01:00	10	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	10	0	
https://cdn.jetair.be/img/flags/fi.jpg	GET	2015-11-23T10:28:02.898+01:00	11	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	1	0	10	0	
https://cdn.jetair.be/img/flags/bl.jpg	GET	2015-11-23T10:28:02.900+01:00	20	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	6	0	14	0	
https://cdn.jetair.be/sites/jetair/themes/jetair/logo.png	GET	2015-11-23T10:28:02.902+01:00	16	302	image/png	0	488		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	3	0	13	0	
https://www.jetair.be/sites/all/modules/custom/hotel_search/img/arrow.png	GET	2015-11-23T10:28:02.905+01:00	14	304	image/png	0	391		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	14	0	
